Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total,Month
Family Visits,0.0,0.0,0.0,0.0,0.0,306800.0,306800.0,306800.0,0.0,0.0,541800.0,541800.0,0.0,541800.0,541800.0,0.0,0.0,0.0,0.0,0.0,55000.00000000001,55000.00000000001,0.0,55000.00000000001,55000.00000000001,20000.0,20000.0,0.0,20000.0,20000.0,24000.0,24000.0,0.0,24000.0,24000.0,75000.0,75000.0,0.0,75000.0,75000.0,0.0,0.0,0.0,0.0,0.0,1022600.0,1022600.0,306800.0,715800.0,715800.0,YTD Mar'19
Employee Engagement Activities,539000.0,539000.0,0.0,539000.0,539000.0,446000.0,446000.0,446000.0,0.0,0.0,324000.0,324000.0,287067.0,36933.0,36933.0,973714.5,973714.5,543440.19,430274.31000000006,430274.31000000006,192400.0,192400.0,121815.0,70585.0,70585.0,24000.0,24000.0,34972.6,-10972.599999999999,-10972.599999999999,102000.0,102000.0,27707.92,74292.08,74292.08,60000.0,60000.0,43396.0,16604.0,16604.0,6800.84092125036,6388.668744204884,0.0,6800.84092125036,6388.668744204884,2667915.34092125,2667503.168744205,1504398.71,1163516.6309212502,1163104.458744205,YTD Mar'19
Director's Party/ Others,0.0,0.0,0.0,0.0,0.0,582000.0,582000.0,485950.0,96050.0,96050.0,445050.0,475050.0,314345.0,130705.0,160705.0,0.0,0.0,0.0,0.0,0.0,136125.0,136125.0,198360.0,-62235.0,-62235.0,50000.0,50000.0,26458.0,23542.0,23542.0,50000.0,50000.0,0.0,50000.0,50000.0,120000.0,120000.0,41817.81,78182.19,78182.19,0.0,0.0,0.0,0.0,0.0,1383175.0,1413175.0,1066930.81,316244.18999999994,346244.18999999994,YTD Mar'19
QC circle,0.0,0.0,0.0,0.0,0.0,921000.0,921000.0,480992.45999999996,440007.54000000004,440007.54000000004,1122000.0,1187050.0,538257.0,583743.0,648793.0,0.0,0.0,0.0,0.0,0.0,172425.0,172425.0,156631.0,15794.0,15794.0,10500.0,10500.0,0.0,10500.0,10500.0,60000.0,60000.0,0.0,60000.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285925.0,2350975.0,1175880.46,1110044.54,1175094.54,YTD Mar'19
Sports,0.0,0.0,0.0,0.0,0.0,1188810.0,1188810.0,1330769.05,-141959.05000000005,-141959.05000000005,1293408.0158179011,905385.6110725307,0.0,1293408.0158179011,905385.6110725307,179988.065,179988.065,0.0,179988.065,179988.065,33000.0,33000.0,0.0,33000.0,33000.0,15000.0,15000.0,0.0,15000.0,15000.0,20000.0,20000.0,0.0,20000.0,20000.0,35000.0,35000.0,51280.0,-16280.0,-16280.0,0.0,0.0,0.0,0.0,0.0,2765206.080817901,2377183.676072531,1382049.05,1383157.030817901,995134.6260725309,YTD Mar'19
Social Activities,0.0,0.0,0.0,0.0,0.0,644640.0,644640.0,1847228.0,-1202588.0,-1202588.0,137400.0,137400.0,85235.0,52165.0,52165.0,500.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22000.0,22000.0,0.0,22000.0,22000.0,35000.0,35000.0,0.0,35000.0,35000.0,0.0,0.0,0.0,0.0,0.0,839540.0,839540.0,1932463.0,-1092923.0,-1092923.0,YTD Mar'19
Club,0.0,0.0,0.0,0.0,0.0,716460.0,716460.0,397973.46,318486.54,318486.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716460.0,716460.0,397973.46,318486.54,318486.54,YTD Mar'19
Gifts,676400.0,676400.0,647000.0,29400.0,29400.0,7706825.0,7868090.0,10538724.1,-2831899.0999999996,-2670634.0999999996,5971399.053291665,6260854.653291664,8147231.3,-2175832.2467083344,-1886376.6467083357,305798.95499999996,305798.95499999996,284544.0,21254.954999999958,21254.954999999958,25000.0,25000.0,20000.0,5000.0,5000.0,93502.0,93502.0,92091.0,1411.0,1411.0,98053.0,98053.0,93001.0,5052.0,5052.0,352504.0,352504.0,259324.0,93180.0,93180.0,13563.870564327028,13563.870564327028,0.0,13563.870564327028,13563.870564327028,15243045.878855992,15693766.478855992,20081915.4,-4838869.521144006,-4388148.921144007,YTD Mar'19
Insurance,779742.0,779742.0,689461.33,90280.67000000004,90280.67000000004,11749162.666666664,11776252.666666664,12899945.0,-1150782.3333333358,-1123692.3333333358,5981222.256999998,6227224.056999998,5396593.960000001,584628.2969999975,830630.0969999973,1717593.2999999996,1717593.2999999996,1596373.0,121220.29999999958,121220.29999999958,1094387.175,1094387.175,1023145.0,71242.17500000005,71242.17500000005,73500.0,73500.0,190456.07,-116956.07,-116956.07,31815.0,31815.0,299750.25,-267935.25,-267935.25,0.0,0.0,0.0,0.0,0.0,144758.29565217395,144758.29565217395,0.0,144758.29565217395,144758.29565217395,21572180.69431884,21845272.494318835,22095724.61,-523543.915681161,-250452.11568116397,YTD Mar'19
Vehicles For Staff at plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38361603.497899234,43426323.497899234,41943042.22,-3581438.7221007645,1483281.2778992355,3255457.7999999993,3255457.7999999993,2716129.5,539328.2999999993,539328.2999999993,4304774.5200000005,4304774.5200000005,4232160.720000001,72613.79999999981,72613.79999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470320.0,-470320.0,-470320.0,0.0,0.0,0.0,0.0,0.0,45921835.817899235,50986555.817899235,49361652.44,-3439816.622100763,1624903.377899237,YTD Mar'19
