Expenses,OB_HO,Last Folder_HO,Actual_HO,Variance OB_HO,Variance LF_HO,OB_Bawal,Last Folder_Bawal,Actual_Bawal,Variance OB_Bawal,Variance LF_Bawal,OB_Chennai,Last Folder_Chennai,Actual_Chennai,Variance OB_Chennai,Variance LF_Chennai,OB_Roorkee,Last Folder_Roorkee,Actual_Roorkee,Variance OB_Roorkee,Variance LF_Roorkee,OB_T16,Last Folder_T16,Actual_T16,Variance OB_T16,Variance LF_T16,OB_NPAU,Last Folder_NPAU,Actual_NPAU,Variance OB_NPAU,Variance LF_NPAU,OB_KAU,Last Folder_KAU,Actual_KAU,Variance OB_KAU,Variance LF_KAU,OB_BAU,Last Folder_BAU,Actual_BAU,Variance OB_BAU,Variance LF_BAU,OB_Gujarat,Last Folder_Gujarat,Actual_Gujarat,Variance OB_Gujarat,Variance LF_Gujarat,OB_Total,Last Folder_Total,Actual_Total,Variance OB_Total,Variance LF_Total
Family Visits,0.0,0.0,0.0,0.0,0.0,10500.0,10500.0,10500.0,0.0,0.0,45150.0,45150.0,0.0,45150.0,45150.0,0.0,0.0,0.0,0.0,0.0,4583.333333333333,4583.333333333333,0.0,4583.333333333333,4583.333333333333,0.0,0.0,0.0,0.0,0.0,2000.0,2000.0,0.0,2000.0,2000.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,67233.33333333334,67233.33333333334,10500.0,56733.33333333334,56733.33333333334
Employee Engagement Activities,16000.0,16000.0,0.0,16000.0,16000.0,31750.0,31750.0,31750.0,0.0,0.0,27000.0,27000.0,15261.0,11739.0,11739.0,31630.0,31630.0,0.0,31630.0,31630.0,16033.333333333332,16033.333333333332,6676.0,9357.333333333332,9357.333333333332,2000.0,2000.0,2188.0,-188.0,-188.0,8500.0,8500.0,0.0,8500.0,8500.0,5000.0,5000.0,1695.0,3305.0,3305.0,0.0,0.0,0.0,0.0,0.0,137913.3333333333,137913.3333333333,57570.0,80343.33333333331,80343.33333333331
Director's Party/ Others,0.0,0.0,0.0,0.0,0.0,11000.0,11000.0,0.0,11000.0,11000.0,25000.0,25000.0,57010.0,-32010.0,-32010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,10000.0,10000.0,15000.0,15000.0,0.0,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,61000.0,61000.0,57010.0,3990.0,3990.0
QC circle,0.0,0.0,0.0,0.0,0.0,1750.0,1750.0,0.0,1750.0,1750.0,30000.0,30000.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,14368.75,14368.75,0.0,14368.75,14368.75,875.0,875.0,0.0,875.0,875.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51993.75,51993.75,0.0,51993.75,51993.75
Sports,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15783.71,-15783.71,-15783.71,129340.8015817901,129340.8015817901,0.0,129340.8015817901,129340.8015817901,2083.3333333333335,2083.3333333333335,0.0,2083.3333333333335,2083.3333333333335,2750.0,2750.0,0.0,2750.0,2750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134174.13491512343,134174.13491512343,15783.71,118390.42491512344,118390.42491512344
Social Activities,0.0,0.0,0.0,0.0,0.0,53720.0,53720.0,502450.0,-448730.0,-448730.0,7000.0,7000.0,6000.0,1000.0,1000.0,500.0,500.0,0.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62220.0,62220.0,508450.0,-446230.0,-446230.0
Club,0.0,0.0,0.0,0.0,0.0,59705.0,59705.0,155482.08000000002,-95777.08000000002,-95777.08000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59705.0,59705.0,155482.08000000002,-95777.08000000002,-95777.08000000002
Gifts,0.0,0.0,0.0,0.0,0.0,10002.0,10002.0,37404.26000000001,-27402.26000000001,-27402.26000000001,386201.03624999995,386201.03624999995,391460.0,-5258.963750000054,-5258.963750000054,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,5001.0,5001.0,0.0,5001.0,5001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406204.03624999995,406204.03624999995,428864.26,-22660.223750000063,-22660.223750000063
Insurance,64978.5,64978.5,64979.0,-0.5,-0.5,978344.388888889,978344.388888889,967047.0,11297.388888888992,11297.388888888992,498435.18808333325,498435.18808333325,461684.0,36751.188083333254,36751.188083333254,143132.775,143132.775,117157.0,25975.774999999994,25975.774999999994,91198.93125000001,91198.93125000001,74670.0,16528.93125000001,16528.93125000001,6125.0,6125.0,6125.0,0.0,0.0,2651.25,2651.25,2651.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12063.191304347829,12063.191304347829,0.0,12063.191304347829,12063.191304347829,1796929.22452657,1796929.22452657,1694313.25,102615.97452656995,102615.97452656995
Vehicles For Staff at plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3405393.5893292134,3405393.5893292134,3729572.0,-324178.41067078663,-324178.41067078663,266430.15,266430.15,204251.0,62179.15000000002,62179.15000000002,355781.21,355781.21,355104.6666666667,676.5433333333349,676.5433333333349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4027604.9493292132,4027604.9493292132,4288927.666666667,-261322.71733745374,-261322.71733745374
Bus Hiring For Staff-Plant,0.0,0.0,0.0,0.0,0.0,2700466.3754999996,2700466.3754999996,2355946.0,344520.3754999996,344520.3754999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143325.0,143325.0,193973.0,-50648.0,-50648.0,181650.0,181650.0,174286.7,7363.299999999988,7363.299999999988,235377.90000000002,235377.90000000002,239820.0,-4442.099999999977,-4442.099999999977,0.0,0.0,0.0,0.0,0.0,3260819.2754999995,3260819.2754999995,2964025.7,296793.57549999934,296793.57549999934
Safety Wear,1645.0,1645.0,0.0,1645.0,1645.0,0.0,0.0,52114.46,-52114.46,-52114.46,95160.00933333334,95160.00933333334,145081.37,-49921.36066666666,-49921.36066666666,10107.9405,10107.9405,97472.28,-87364.3395,-87364.3395,68432.75,68432.75,104325.0,-35892.25,-35892.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110820.2,-110820.2,-110820.2,249650.0,249650.0,15933.0,233717.0,233717.0,0.0,0.0,0.0,0.0,0.0,424995.6998333333,424995.6998333333,525746.31,-100750.61016666674,-100750.61016666674
Medical Expenses,3273.9166666666665,3273.9166666666665,1998.0,1275.9166666666665,1275.9166666666665,144398.3333333333,144398.3333333333,145400.0,-1001.6666666666861,-1001.6666666666861,85000.0,85000.0,3420.0,81580.0,81580.0,95228.2,95228.2,18500.0,76728.2,76728.2,27143.75,27143.75,26550.0,593.75,593.75,1575.0,1575.0,0.0,1575.0,1575.0,2000.0,2000.0,0.0,2000.0,2000.0,15000.0,15000.0,12714.0,2286.0,2286.0,580.641702270252,580.641702270252,0.0,580.641702270252,580.641702270252,374199.8417022702,374199.8417022702,208582.0,165617.8417022702,165617.8417022702
